name,country,minx
Gustavo Adolfo Farina Cabral,Dominican Republic,875
Chris Deng,USA,875
Jonathan Boer,Netherlands,875
Pranav Prabhu,India,874
Thompson Clarke,Canada,874
Brandon Poulton,United Kingdom,874
Rafik Sarwat Naeem Ragheb,Egypt,874
Ewsey Obzherin,Russia,873
Leo Millar,Australia,873
Joe Yang,USA,873
Leon Tran,Australia,873
Akshaansh Chilakapati,India,872
Yaroslav Morhun (Ярослав Моргун),Ukraine,872
Xavier W. NcCorchuk,USA,872
Parker Trager,USA,871
Ruihang Xu (许瑞航),China,871
Lauri Korhonen,Finland,871
Firstian Fushada (符逢城),Indonesia,871
Jakub Drobný,Slovakia,871
Dennis Hu,New Zealand,871
Bokang Peng (彭博康),China,871
Jan Erik Soosaar,Estonia,870
Wojciech Knott,Poland,870
Duncan Butcher,Australia,870
Ansh Iyer,India,870
Slavomil Voloskov (Славомил Волосков),Russia,870
Lev Maslov,Russia,870
Renato Stopic,Bosnia and Herzegovina,870
Celine Tran,Norway,870
Luke Griesser,USA,869
Simon Kellum,USA,869
Florian Truckenthanner,Austria,869
Seath Margatinez,Philippines,869
Felipe Medel,Chile,869
Ahmad Ayman,Egypt,868
Luis Eduardo Martínez Castellanos,Mexico,868
Thibault Piollat,France,868
Martin Fronescu,Romania,868
Amina Chebochakova (Амина Чебочакова),Russia,868
Eben Quenneville,USA,868
Oleksii Lukin (Олексій Лукін),Ukraine,868
Daniel Mullen,USA,867
Matvei Zakataev (Матвей Закатаев),Russia,867
Karol Piskorek,Poland,867
Jason White,USA,866
Leow Yi Jun (廖艺畯),Malaysia,866
Xinyan Li (李心妍),China,866
Asia Konvittayayotin (เอเชีย กรวิทยโยธิน),Thailand,866
John Colacarro,USA,865
Mateusz Gil,Poland,865
Abhimanyu Singhal,India,865
Dominik Unijewski,Poland,865
Jackson Moorhead,New Zealand,865
Francisco Moraes Mandalozzo,Brazil,865
Luke Van Laningham,USA,864
Rory Bailey,New Zealand,864
Laura Ting,Australia,864
Sheldon Rego,India,864
Olivier Vos,Netherlands,864
Artur Chechekhin (Артур Чечёхин),Russia,864
Levi Gibson,USA,863
Vicente Astroza,Chile,863
Elian Beguec,France,863
Keaton Ellis,USA,862
David Arzamastsev,Russia,862
Edward Zeng,Canada,862
William Barlow,New Zealand,861
Ayaz Minnegaleev,Russia,861
Oliver Fritz,Germany,861
Aiden Chan,Canada,861
Omar Ellabban,Canada,861
Alexey Kislovskiy,Russia,861
Dash Cannon,Australia,861
Cary Huang,USA,860
Calvin Nielson,USA,860
Alberto Palacio,Dominican Republic,860
Nguyễn Trần Hải Anh,Vietnam,860
Arnav Adani,India,860
Jan Staubach,Germany,860
Linus Kunath,Germany,860
Liubov Abashkina (Любовь Абашкина),Russia,860
Javad Jafarli,Azerbaijan,860
Valeriia Volova (Валерія Волова),Ukraine,859
Heewon Seo,USA,859
Choi Go-Ho (최고호),Korea,859
Benjamin Walker,Australia,858
Maksym B. Tsymbaliuk (Максим Б. Цимбалюк),Ukraine,858
Rui-Jun Liu (劉睿鈞),Taiwan,858
Darby Lee,Australia,857
Byron Gronning,Australia,857
Dominic Redisi,USA,857
Nipat Charoenpholphant (นิพัฒน์ เจริญพลพันธุ์),Thailand,856
Oliver Leigh,Australia,856
Mitchell Hum,USA,856
Nikita Piialtcev,Russia,856
Andrey Kolevatykh (Андрей Колеватых),Russia,856
Adrian Walkowiak,Poland,856
Zedan Mohamed Ahmed,Egypt,856
Daiven Strom,USA,856
Thomas Imada,Canada,856
Aissultan Aizharkynuly (Айсұлтан Айжарқынұлы),Kazakhstan,855
Trần Đình Anh,Vietnam,855
Márton Vancsa,Hungary,855
Suzanna Sharpless,USA,855
Arina Baskakova (Арина Баскакова),Russia,854
Gabriel Ben,Australia,854
Devina Gokaldas,India,854
Zayn Khanani,USA,854
Jie Zhang (张杰),China,854
Dmitrii Vershinin (Дмитрий Вершинин),Russia,853
Danila Ryabinin,Russia,853
Liam Pipia,Australia,853
Jason Harley,United Kingdom,853
Ethan Rusnak,Canada,853
Bence Barát,Hungary,853
Jiate Xie (谢佳特),China,853
Yu-Kai Chen (陳宇楷),Taiwan,852
Diego Alfonso,France,852
Kyyarkhan Nikolaev,Russia,852
Kymberlyn Calderon,USA,852
Renat Nurgaleev,Russia,852
Jack Maddigan,New Zealand,852
Arseniy Dyachenko,Russia,852
Caio Hideaki Sato,Brazil,852
Dmitry Matthew Yaquinto,Russia,851
Nathaniel Gee,USA,851
Anton Bozhnev,Russia,851
Akash Rupela,India,851
Bautista Bonazzola,Argentina,850
Mathai Manavalan,Australia,850
Junze Zhao (赵俊泽),China,850
Azhar Virani,USA,850
Zeke Mackay,USA,850
Julian Sico,New Zealand,850
Lauren Phung,USA,850
Conlan Trace,USA,849
Cheng-Han Chu (朱政翰),Taiwan,849
Simon Westlund,Sweden,849
Dylan Ulysses James Thomas,Australia,849
Ihor Kastranets (Ігор Кастранець),Ukraine,849
Zach Amiridis,Australia,849
Scott Froggatt,Ireland,849
Alexander Mutch,Canada,849
Henry Helmuth,USA,849
Katie Hull,USA,848
Arhaan Sareen,Canada,848
Bakhytzhan Sharipbay (Бахытжан Шарипбай),Kazakhstan,848
Eduardo Gabriel Silva Bezerra,Brazil,848
Antonio López,Spain,847
Jason Ostdiek,USA,847
Luca Stalpers,Netherlands,847
Zhongyu Zheng (郑仲宇),China,847
Lucas Buckley,Australia,847
Owen Chester,USA,847
Nikita Pak,Russia,847
Võ Nguyên Phát,Vietnam,846
Leonid Shcherbakov (Леонид Щербаков),Russia,846
Mantra Shukla,New Zealand,846
Alicja Tyrakowska,Poland,845
Jacob Joshi,Australia,845
Ihor Sukhovatenko (Ігор Суховатенко),Ukraine,845
Oliver Hutchinson,Australia,845
Nicolas Gertner,France,845
Xinyun Chen (陈新运),China,844
Juan de Dios Noriega Sánchez,Mexico,844
Zak Howard,Australia,844
Heng Liao (廖衡),Taiwan,844
Harrison Hollands,Australia,844
Callum Goodyear,United Kingdom,844
Constantin Lüske,Germany,843
William Jensen,Sweden,843
Salma Yasser Abdelmageed,Egypt,843
Anjal Timsina,Nepal,843
Akmal Abduazizov,Uzbekistan,842
Artem Kulikov (Артём Куликов),Russia,842
Aleksey Tkachenko,Russia,842
Leopoldo Andrés Ibarra Fuentes,Chile,842
Vishwa Sankar,USA,841
Chris Yoder,USA,841
CJ York,USA,841
Riley Johnstone,Canada,841
Kate Grahame,USA,841
Revan Rajahmoney,Australia,841
Alexander Gusev,Russia,841
Peter Weyers,USA,841
John Brechon,USA,841
Felix Kiera,Australia,841
Mitchell William Su,New Zealand,841
Daniel Fraser,New Zealand,841
Maxim Kozlov (Максим Козлов),Russia,841
Charlie Stark,United Kingdom,840
Nicole Wang,Canada,840
Benjamin Pugh,USA,840
Karina Voevodina,Russia,840
Zhukun Zhong (钟柱坤),China,839
Ivan Torgashov (Иван Торгашов),Russia,839
Dmitriy Kukuev,Russia,839
Jules Desjardin,France,839
Dmitry Sidorenko,Russia,839
Maoxuan Chen (陈茂轩),China,839
Diego Fraile,France,839
Mary Hennessy,Ireland,838
Dmitry Melnikov (Дмитрий Мельников),Russia,838
Stepan Makarenko,Russia,838
Mark Ostrom,United Kingdom,838
Tiana Diachenko,Australia,838
Zhiyu Qian (钱治宇),China,838
Birkan Mayadağ,Turkey,838
Mohamed Yehya,Lebanon,838
Trenton Nelson,USA,837
Alexander Persaud,USA,837
Viktor Kalmar,Austria,837
Yusheng Du (杜宇生),China,837
Yashwardhan Budhiraja,India,836
Stanisław Dąbrowski,Poland,836
Ilya Sokolov,Russia,836
Vaishnav Nitesh,India,836
Mihai Căpăţinescu,Romania,836
Brody Lassner,USA,835
Don Angelo Joson,Philippines,835
Sam Jacklin,United Kingdom,835
Viktoria Ivanova (Виктория Иванова),Russia,835
Danila Rogozhnikov (Данила Рогожников),Russia,835
Weijie Fang (方伟杰),China,834
Nathan Daviaud,France,834
Manuel Prieto de Antón,Spain,834
Samuel Long,Australia,834
Enzo Bruder-Jeannot,France,833
Chelsea Watts,Australia,833
Joshua Broderick Phillips,USA,833
Ying Lin (林颖),China,833
Hua-Ting Lee (李華庭),Taiwan,833
Sameer Sethuram,USA,833
David Suit,USA,833
Daniel Yakhkind,Israel,833
Sergey Mironchenkov,Russia,832
Kit Clement,USA,832
Ethan Hickman,Australia,832
Carter Thomas,USA,832
Roman Povolotskii,Russia,831
Nicolás Irenco Peña Henríquez,Chile,831
He-Ping Zheng (鄭和平),Taiwan,831
Rishi Raj,USA,831
Yu Feng (冯煜),China,831
Da-Yeong Kim (김다영),Korea,831
Alexey Yarygin,Russia,831
Dylan Hughlett,USA,831
Tony Nguyen,Vietnam,831
Egdar Castillo,Panama,830
Daniyal Suleymen (Даниял Сулеймен),Kazakhstan,830
Giovanni Contardi,Italy,830
Mohamed Elsayed Ali,Egypt,830
Aamir Saifee,India,830
Lucas Déglise,France,830
Pavel Galaktionov,Russia,830
Max Walaszek,USA,830
Daniel Quach,New Zealand,829
Frederik Løchte,Denmark,829
Nicolás Truijens,Switzerland,829
Fanny Pousset,France,829
Andrew Nathenson,USA,829
Yuheng Zhu,China,829
Jolina Chen,Australia,829
Serena Jones,New Zealand,829
Pedro Giuseppe Garcia Milla,Peru,828
Wonbao Kua,Australia,828
Chih-Chuan Yang (楊智全),Taiwan,828
Amir Murzakarimov (Амир Мурзакаримов),Kazakhstan,828
Qiang Ma (马强),China,827
Ivan Benedict Lee Yap,Philippines,827
Anqi Dai (戴安琪),China,826
Nguyễn Ngọc Thịnh,Vietnam,826
Luis Mateo Peñuela Jara,Colombia,826
Maria Lebedeva (Мария Лебедева),Russia,826
Anderson Encarnación Cabrera,Dominican Republic,826
Bauyrzhan Zhandossuly (Бауыржан Жандосұлы),Kazakhstan,826
Ian Holmes,Netherlands,826
Harry Taylor,United Kingdom,826
Mert Sağdınç,Turkey,826
Malte Ihlefeld,Germany,825
Rami El Mallah,Lebanon,825
Miron Solopov (Мирон Солопов),Russia,825
Vaibhav-Jai Ravipati,Australia,825
Rodrigo Alves Miranda,Brazil,825
Nestor Sokhan,USA,825
Brennen Lin,Canada,825
Tommy Szeliga,USA,825
Mengfei Shen (沈梦非),China,825
Maxen Morrison,Canada,825
Ben Baron,Israel,824
