name,country,clock
Lucas Kuczaj,Canada,781
Joel O’Callaghan,New Zealand,780
Mathieu Hudon,Canada,780
Chan Hui Tung (陳許瞳),Hong Kong,779
Marcus Kamen,USA,778
Qinxi Wei (韦钦曦),China,778
Luoxiao Xu (徐珞潇),China,778
Anna Panova (Анна Панова),Russia,778
James Quinn,USA,778
Gabrielle Morasse,Canada,777
Darya Belonogova,Russia,777
Cullen Milne,South Africa,777
Yu-Kai Chen (陳宇楷),Taiwan,776
Yixing Wang (王一行),China,776
Sicheng Gu (顾思成),China,776
Brandon Nguyen,Canada,776
Franklin Tober James Dulay,Philippines,775
August Lancaster,USA,775
Télian Delannoy,France,775
Junru Wang (王珺儒),China,775
Wei Zhang (张微),China,775
Ben Stokes,United Kingdom,775
Krzysztof Bober,Poland,775
Zijun Liu (刘子钧),China,775
Amir Kojanov (Амир Кожанов),Kyrgyzstan,774
Mingyu Wang (汪明煜),China,774
Aolin Tang (唐奥林),China,774
Muhammad Syahmi,Malaysia,774
Nathan Azaria,Indonesia,774
Timo Norrkniivilä,Finland,774
Ernur Ersayynov,Kazakhstan,773
Aryan Sehgal,India,773
Lucas Déglise,France,773
Mark Bennis,Netherlands,772
Emmet Hobbs,Australia,772
Vladislav Shurshilin,Russia,772
Ksenia Vepsha,Russia,772
Volodymyr Korol (Володимир Король),Ukraine,772
Parth Sachin Surelia,India,772
Aset Agabekov (Асет Агабеков),Kazakhstan,771
Xinjie Shi (施鑫杰),China,771
Olivier van Luijk,Netherlands,771
Albert Quiñones,Philippines,771
Timofei Vikhrianov (Тимофей Вихря́нов),Russia,771
Kush Girap,India,770
Markko Eduardo Rivera Hernández,Mexico,770
David Lim,New Zealand,770
Levi Benjamin Matara-Ng,Australia,770
Ethan Potinsky,USA,769
Dmitriy Busygin (Дмитрий Бусыгин),Russia,769
Jérôme Fréguin,Canada,769
Nicole Wang,Canada,769
Matvey Bannikov (Матвей Банников),Russia,769
Yunliang Zhang (张赟量),China,768
Hellen Wang,New Zealand,768
Lalith Sashank,India,768
Arkadiusz Abramowski,Poland,768
Paul Galioto,USA,768
Kirill Ogorodov (Кирилл Огородов),Russia,768
Lev Maslov,Russia,767
Lorenzo Mauro,Italy,767
Jayden Jiang,USA,767
Daniyal Suleymen (Даниял Сулеймен),Kazakhstan,767
Emil Van Ilmari Nguyen Tornudd,USA,766
Ivan Shironin,Russia,766
William Carey,Ireland,766
Marcus Moberg,Sweden,766
Li Chak Kwan (李澤堃),Hong Kong,766
Dennis Hu,New Zealand,766
Michael Conard,USA,765
Xinyang Li (李昕洋),China,765
Mihály Horváth,Hungary,765
Daniel Alejandro Cruz Tunubalá,Colombia,765
Amir Husain,Kazakhstan,765
Clay Moore,USA,765
Kim Min (김민),Korea,765
Jakub Grzybowski,Poland,765
Matthew Dickman,USA,764
Kyeongmin Choi,Korea,764
Andreas Østergaard,Denmark,764
Caleb Kearney,USA,763
Daniel Yakhkind,Israel,763
Jordan Granados,USA,763
Chengzhi Jin (金程智),China,763
Marco Manno,Italy,763
Vicenzo Guerino Cecchini,Brazil,763
Vladyslav Hryniuk (Владислав Гринюк),Ukraine,763
Ilya Shalashny (Илья Шалашный),Russia,762
Nicholas Bezzerides,USA,762
Jingbin Li (李晶斌),China,762
Marcos Meibel Corral Murillo,Mexico,762
Zifeng Lin (蔺子丰),China,762
Mehrdad Navidian Mehr (مهرداد نویدیان مهر),Iran,762
Raymond Goslow,USA,762
Zhaoqi Wang (王昭琦),China,762
Zifeng Zhou (周子枫),China,761
Christopher Chi,USA,761
Srijan Adhikari,Nepal,760
Li Xiaotian,China,760
Alexis Rodrigo Cazu Mendoza,Mexico,760
Vasu Gondaliya,India,760
Vilius Ribinskas,Lithuania,760
Hisashi Imai,Japan,760
John Albright,USA,760
Ryan Yasinko,Canada,760
Nishad Khade,India,759
Shu Ogawa (小川柊),Japan,759
Dennis Rosero,Colombia,759
Tomasz Larysz,Poland,759
Diego Alfonso,France,759
Alwin Rölz,Switzerland,758
Kymberlyn Calderon,USA,758
Artem Kapustinskiy (Артем Капустинский),Russia,757
Konstantin Solovev (Константин Соловьёв),Russia,757
Aleksei Ushachev,Russia,757
Angelo Pio Lo Giudice,Italy,757
Akmal Abduazizov,Uzbekistan,757
Dominik Fürer,Switzerland,757
Iván Guerrero Juárez,Mexico,757
Shourya Upadhyay,India,757
Preston Duke,USA,757
Dan Pastushkov,USA,757
Yizhou Zhou (周亦舟),China,756
Yu-Kuan Hsieh (謝予寬),Taiwan,756
Jorge Mario Gurdián Flores,Nicaragua,756
Graham Stack,New Zealand,756
Ryan Pilat,USA,755
Piotr Skowroński,Poland,755
Mikhail Evtiukhov (Михаил Евтюхов),Russia,755
Igor Tarasov (Ігор Тарасов),Ukraine,755
Sam Adams,USA,754
Heng Guo (郭恒),China,754
Bryan Eng,Australia,753
Chenhao Ma (马晨皓),China,753
An Li (李安),China,752
Lei Liu (刘磊),China,752
Lauren Klemz,USA,752
Matthew Wilcox,USA,752
Donghao Xu (许东豪),China,752
Guy Taragano,Israel,752
Kenneth Pérez Arias,Mexico,752
Yan Jin (金岩),China,752
Brian Johnson,USA,751
Stone Amsbaugh,USA,751
Mikhail Kharitonov,Russia,751
Evgenii Loginov,Russia,751
Jakub Hibszer,Poland,750
Santhosh Sabarinathan,India,750
Michał Jakubowski,Poland,750
Brady Whitehead,Canada,750
Farid Mikhailov,Kazakhstan,750
Dominika Warchoł,Poland,749
Hongyuan Fu (傅泓源),China,749
Nicolas Marin Urrea,Colombia,749
Zewei Wang (王泽伟),China,749
Vinay Omkumar Khilwani,India,748
Jared Stinson,USA,748
Joaquin Ruenes Hernández,Mexico,748
Arghadeep Mukherjee,India,748
Mu Liu (刘沐),China,748
Yihao Lü (吕奕豪),China,748
Carlos Rill Garcia,Mexico,748
Jiyi Wang (王吉怡),China,747
Damir Zhanataev (Дамир Жанатаев),Kazakhstan,747
Aadhithya Hariharan,India,747
Francisco Moraes Mandalozzo,Brazil,747
Raúl Serrano Martínez,Spain,747
Elijah Gil S. Cacho,Philippines,747
Alex Loor,Ecuador,747
Max Bradley-McFawn,Australia,746
Danila Safroshkin (Данила Сафрошкин),Russia,746
Laurids Abelsen Holm,Denmark,746
Fan Ye (叶凡),China,746
Yuanzhe Liu (刘远哲),China,746
DongSu Park (박동수),Korea,745
Seon Byun,Korea,745
Vladislav Kshnyakin (Владислав Кшнякин),Russia,744
Evgeniy Lee,Uzbekistan,744
Malaury Michelland,France,744
Nate Mochrie,New Zealand,744
Yutong Liu (刘昱彤),China,743
Chae Ji-Seok (채지석),Korea,743
Saravanan Gowthaman,India,742
Artem Kulikov (Артём Куликов),Russia,742
Haoze Yu (于昊泽),China,742
Mingsen Han (韩明森),China,742
Tyler Bitz,USA,742
Tin Huang,Canada,742
Azamat Begaliev,Kazakhstan,742
Nathan Black,New Zealand,742
Hsiang Hsueh (薛翔),Taiwan,742
Caden Scott,USA,742
Eder Alberto Samayoa Lopez,Guatemala,741
Luis Jonathan Omana Estrada,Mexico,741
Artem Sheptun (Артем Шептун),Russia,741
Kyle Van Straaten,Canada,741
Rodrigo Zarate,Peru,741
Mateusz Gołaś,Poland,740
Alexey Kislovskiy,Russia,740
Arsenii Evdokimov (Арсений Евдокимов),Russia,740
Elijah Gabriel Ret,USA,740
Léo Francoeur,Canada,740
Yikuan Kan (阚亦宽),China,740
Angel Torres Perez,Mexico,740
Wuxiao Dong (董毋小),China,739
Xiaobin Rui (芮晓彬),China,739
Hanlin Ding (丁瀚林),China,739
Yue Shen (申粤),China,739
Vladislav Pechenkin (Владислав Печёнкин),Russia,739
Denis Milov,Russia,739
Lewis Garthwaite,USA,738
Oleg Liven,Russia,738
Mateusz Szulik,Poland,738
Braden Richards,USA,738
Danila Sobyanin,Russia,738
