name,country,pyram
Davelno Danish Raziq,Indonesia,995
Darya Belonogova,Russia,995
Cade Beck,USA,995
Saveliy Surikov,Russia,994
Shek Ho Hin (石灝軒),Hong Kong,994
Max Alidenes,Australia,994
Zian Song (宋子安),China,994
Boxi Chen (陈博希),China,994
Qian Wang (王乾),China,994
Malte Oliver Bøgh Kjøller,Denmark,994
Zhengwen Zhong (钟政文),China,994
Theo Iván Goluboff,Argentina,994
Lachlan Malcolm,Australia,993
Matteo Dummar,Italy,993
Gjorgji Cheshmedjievski,North Macedonia,993
Zejin Liu (刘泽锦),China,993
Nikolai Gomelchuk,Russia,993
Minn Aung,Australia,993
Noah Wilde,Canada,992
Adarsh Natarajan,Australia,992
Seungho Song (송승호),Korea,992
Gellért Menyhárt,Hungary,992
Magne Njå,Norway,992
Vaibhav-Jai Ravipati,Australia,991
Nguyễn Ngọc Thịnh,Vietnam,991
Rohan Singh,Malaysia,991
Yuxuan Zheng (郑豫轩),China,991
Eshiel Narayanan,Australia,991
Sebastián Pulgarín Manrique,Colombia,991
Alexander Botz,Germany,991
Bowen Wan (万博文),China,991
Alyssa Bernardo,USA,991
Xiaoxiao Wang (王晓晓),China,991
Sukant Koul,India,990
Nikita Galchenko (Никита Гальченко),Russia,990
Carol Chai,New Zealand,990
Maximus Ferrier,Australia,990
Billy O'Loan,Australia,990
Pedro Giuseppe Garcia Milla,Peru,990
Saavar Bajaj,Australia,990
Shivam Bansal,India,990
Vlad Bayazitov (Влад Баязитов),Russia,990
Andres Arias Medina,Colombia,990
Amina Chebochakova (Амина Чебочакова),Russia,990
Adam Chodyniecki,Poland,990
